season_code,team,avg_gk,avg_def,avg_mid,avg_att,avg_overall,squad_depth
1819,Watford,73.7,73.1,74.4,74.7,73.8,77.3
1819,West Ham,72.3,71.9,71.2,78.0,73.2,79.2
1819,Wolves,73.7,70.5,70.6,71.3,71.1,76.7
1920,Arsenal,75.0,76.9,72.7,75.9,75.1,82.3
1920,Aston Villa,74.2,68.3,69.5,67.4,69.2,75.6
1920,Bournemouth,70.5,72.1,72.7,73.2,72.3,77.2
1920,Brighton,72.0,75.0,69.8,72.9,72.4,76.9
1920,Burnley,68.4,70.1,73.5,72.0,71.3,77.1
1920,Chelsea,70.5,78.2,77.6,78.2,77.1,81.9
1920,Crystal Palace,73.3,70.5,69.2,73.3,70.8,77.5
1920,Everton,77.0,75.7,76.4,73.0,75.1,79.5
1920,Leicester,74.7,72.3,74.9,75.6,74.4,78.6
1920,Liverpool,72.2,76.5,75.3,77.6,75.8,84.7
1920,Man City,70.2,76.4,79.2,79.6,77.0,86.3
1920,Man United,80.3,76.5,77.8,75.2,76.8,82.2
1920,Newcastle,74.3,74.6,70.6,77.2,73.3,77.3
1920,Norwich,73.7,66.9,70.5,68.3,69.3,74.3
1920,Sheffield United,66.2,68.8,69.7,69.3,68.9,73.9
1920,Southampton,71.8,71.9,73.4,71.3,72.2,76.8
1920,Tottenham,75.3,78.7,73.9,80.2,76.5,84.1
1920,Watford,73.2,76.0,74.4,75.9,75.0,78.2
1920,West Ham,75.0,73.1,70.9,74.8,72.6,79.3
1920,Wolves,72.0,69.5,70.1,71.8,70.5,78.5
2021,Arsenal,70.3,77.4,77.0,76.1,76.2,81.0
2021,Aston Villa,74.6,71.1,68.8,71.0,71.0,76.2
2021,Brighton,70.8,69.1,70.5,73.4,70.8,76.3
2021,Burnley,72.0,69.2,72.4,68.4,70.2,77.1
2021,Chelsea,78.5,78.9,78.5,80.9,79.2,82.9
2021,Crystal Palace,73.3,69.6,70.8,76.0,71.5,77.3
2021,Everton,72.3,74.0,75.8,73.1,74.4,79.6
2021,Fulham,76.7,70.2,68.7,69.1,69.9,75.5
2021,Leeds,67.7,67.1,67.6,69.9,68.0,74.0
2021,Leicester,74.7,73.7,74.6,77.6,75.2,80.2
2021,Liverpool,76.2,78.4,78.8,79.5,78.6,86.1
2021,Man City,78.0,76.2,74.7,83.7,77.5,85.3
2021,Man United,79.0,75.9,78.8,80.8,77.8,82.5
2021,Newcastle,75.7,74.0,72.0,73.2,73.3,77.6
2021,Sheffield United,70.5,68.4,71.9,70.3,69.9,76.1
2021,Southampton,75.7,71.2,71.1,70.0,71.3,76.6
2021,Tottenham,75.5,76.1,75.9,83.2,77.2,83.0
2021,West Brom,69.0,68.5,70.0,67.4,68.7,73.8
2021,West Ham,70.8,70.1,72.8,70.5,71.3,78.5
2021,Wolves,77.0,68.1,68.0,72.2,69.6,78.7
2122,Arsenal,72.7,73.1,73.7,74.9,73.6,79.7
2122,Aston Villa,70.3,70.5,71.6,71.3,71.0,78.5
2122,Brentford,73.5,69.7,68.0,69.2,69.3,74.0
2122,Brighton,70.3,69.1,70.0,70.2,69.8,76.3
2122,Burnley,74.0,71.1,70.5,69.5,70.8,77.0
2122,Chelsea,71.8,74.9,75.2,83.1,76.4,84.1
2122,Crystal Palace,67.2,70.5,71.2,72.0,70.7,76.4
