result,matchday,home_form_pts,home_form_gf,home_form_ga,home_form_gd,home_form_wins,home_form_draws,away_form_pts,away_form_gf,away_form_ga,away_form_gd,away_form_wins,away_form_draws,home_home_pts,home_home_gd,away_away_pts,away_away_gd,pts_diff,gd_diff,home_position,away_position,position_diff,home_league_pts,away_league_pts,league_pts_diff,home_league_gd,away_league_gd,elo_home,elo_away,elo_diff,home_shots_avg,home_shots_against_avg,home_sot_avg,home_sot_against_avg,away_shots_avg,away_shots_against_avg,away_sot_avg,away_sot_against_avg,shots_diff,sot_diff,corners_diff
H,20,3,1.0,0.0,1.0,1,0,0,0.0,1.0,-1.0,0,0,0,0.0,0,0.0,3,2.0,8,17,9,3,0,3,1.0,-1.0,1516.0,1484.0,32.0,10.0,18.0,4.0,4.0,19.0,11.0,6.0,4.0,-9.0,-2.0,0
H,20,3,2.0,0.0,2.0,1,0,3,2.0,1.0,1.0,1,0,0,0.0,0,0.0,0,1.0,7,9,2,3,3,0,2.0,1.0,1516.0,1516.0,0.0,13.0,12.0,5.0,0.0,12.0,12.0,5.0,6.0,1.0,0.0,0
D,20,0,1.0,4.0,-3.0,0,0,1,2.0,3.0,-1.0,0,1,0,-2.0,1,0.0,-1,-2.0,19,13,-6,0,1,-1,-3.0,-1.0,1469.4695015289756,1484.736306793522,-15.26680526454652,10.5,10.5,1.5,4.0,12.0,8.0,4.0,3.5,-1.5,-2.5,0
A,20,2,4.0,4.0,0.0,0,2,6,5.0,1.0,4.0,2,0,1,0.0,3,2.0,-4,-4.0,10,3,-7,2,6,-4,0.0,4.0,1500.736306793522,1531.263693206478,-30.52738641295582,10.5,12.0,2.5,3.0,19.0,7.5,6.5,3.0,-8.5,-4.0,0
A,20,6,5.0,1.0,4.0,2,0,1,1.0,2.0,-1.0,0,1,3,2.0,1,0.0,5,5.0,2,14,12,6,1,5,4.0,-1.0,1532.0,1485.4695015289756,46.53049847102443,11.0,11.5,4.5,1.5,15.5,8.0,2.5,2.0,-4.5,2.0,0
D,20,1,0.0,2.0,-2.0,0,1,0,2.0,5.0,-3.0,0,0,0,-2.0,0,-1.0,1,1.0,17,18,1,1,0,1,-2.0,-3.0,1485.4695015289756,1468.0,17.46950152897557,11.5,11.0,2.0,2.5,6.5,15.5,3.0,7.0,5.0,-1.0,0
H,20,0,0.0,5.0,-5.0,0,0,2,3.0,3.0,0.0,0,2,0,-1.0,1,0.0,-2,-5.0,20,12,-8,0,2,-2,-5.0,0.0,1469.4695015289756,1499.263693206478,-29.79419167750234,14.0,14.5,3.5,4.5,9.0,10.0,2.5,4.0,5.0,1.0,0
H,20,6,3.0,1.0,2.0,2,0,2,2.0,2.0,0.0,0,2,3,1.0,1,0.0,4,2.0,4,11,7,6,2,4,2.0,0.0,1530.5304984710244,1499.263693206478,31.26680526454652,7.5,13.0,4.5,3.0,9.0,7.5,3.5,2.0,-1.5,1.0,0
A,20,3,3.0,2.0,1.0,1,0,1,1.0,2.0,-1.0,0,1,0,-1.0,0,-1.0,2,2.0,8,15,7,3,1,2,1.0,-1.0,1500.0,1484.736306793522,15.26369320647791,17.5,9.5,6.0,4.0,10.0,10.0,4.0,3.5,7.5,2.0,0
H,20,4,1.0,0.0,1.0,1,1,4,2.0,1.0,1.0,1,1,1,0.0,3,1.0,0,0.0,7,6,-1,4,4,0,1.0,1.0,1514.5304984710244,1514.5304984710244,0.0,8.0,11.5,1.0,3.0,10.0,19.0,3.0,4.5,-2.0,-2.0,0
D,20,1,2.0,4.0,-2.0,0,1,4,4.0,3.0,1.0,1,1,1,0.0,1,0.0,-3,-3.0,18,5,-13,1,4,-3,-2.0,1.0,1484.736306793522,1515.263693206478,-30.52738641295582,8.5,20.0,3.5,6.5,13.5,6.0,4.5,2.0,-5.0,-1.0,0
A,20,6,5.0,0.0,5.0,2,0,3,3.0,4.0,-1.0,1,0,3,4.0,0,-2.0,3,6.0,3,11,8,6,3,3,5.0,-1.0,1530.5304984710244,1500.0,30.53049847102443,14.0,13.5,4.5,2.5,11.5,10.5,4.0,5.0,2.5,0.5,0
D,20,2,3.0,4.0,-1.0,0,2,6,5.0,3.0,2.0,2,0,1,0.0,3,1.0,-4,-3.0,14,5,-9,2,6,-4,-1.0,2.0,1481.8949734492508,1513.1281248226185,-31.23315137336772,11.333333333333334,12.666666666666666,3.6666666666666665,4.333333333333333,11.666666666666666,14.666666666666666,3.3333333333333335,4.333333333333333,-0.33333333333333215,0.33333333333333304,0
