team,squad_value,avg_player_value,season_code,squad_value_norm,avg_player_norm
Burnley,132300000,4130000,2021,0.289,0.361
Chelsea,889200000,22800000,2021,1.943,1.991
Crystal Palace,193850000,5380000,2021,0.424,0.47
Everton,511200000,11620000,2021,1.117,1.015
Fulham FC &nbsp;,239750000,6310000,2021,0.524,0.551
Leeds United &nbsp;,238100000,6110000,2021,0.52,0.534
Leicester,510600000,12770000,2021,1.116,1.115
Liverpool,969650000,22550000,2021,2.118,1.969
Man City,1040000000,29010000,2021,2.272,2.533
Man United,770050000,19740000,2021,1.682,1.724
Newcastle,255350000,7740000,2021,0.558,0.676
Sheffield United,149850000,3750000,2021,0.327,0.327
Southampton,282800000,7250000,2021,0.618,0.633
Tottenham,703500000,17160000,2021,1.537,1.498
West Bromwich Albion &nbsp;,141150000,3280000,2021,0.308,0.286
West Ham,336400000,8410000,2021,0.735,0.734
Wolves,450300000,11850000,2021,0.984,1.035
Arsenal,613050000,14950000,2122,1.313,1.309
Aston Villa,487750000,11090000,2122,1.045,0.971
Brentford FC &nbsp;,273300000,7190000,2122,0.585,0.63
Brighton,318000000,7400000,2122,0.681,0.648
Burnley,137850000,3940000,2122,0.295,0.345
Chelsea,914500000,20780000,2122,1.959,1.82
Crystal Palace,271050000,8210000,2122,0.581,0.719
Everton,479050000,11410000,2122,1.026,0.999
Leeds,299450000,8560000,2122,0.641,0.75
Leicester,526549999,13160000,2122,1.128,1.152
Liverpool,918900000,18750000,2122,1.968,1.642
Man City,1000000000,25740000,2122,2.142,2.254
Man United,769150000,17890000,2122,1.647,1.567
Newcastle,313900000,9230000,2122,0.672,0.808
Norwich,163200000,3630000,2122,0.35,0.318
Southampton,274300000,8310000,2122,0.588,0.728
Tottenham,689350000,15320000,2122,1.477,1.342
Watford FC &nbsp;,156200000,3320000,2122,0.335,0.291
West Ham,354900000,9590000,2122,0.76,0.84
Wolves,376950000,9920000,2122,0.807,0.869
AFC Bournemouth &nbsp;,287200000,6110000,2223,0.507,0.441
Arsenal,1000000000,23830000,2223,1.767,1.719
Aston Villa,509550000,11850000,2223,0.9,0.855
Brentford,371200000,10310000,2223,0.656,0.744
Brighton,529799999,12610000,2223,0.936,0.909
Chelsea,994950000,23140000,2223,1.758,1.669
Crystal Palace,323050000,8279999,2223,0.571,0.597
Everton,413150000,10330000,2223,0.73,0.745
Fulham FC &nbsp;,295100000,6280000,2223,0.521,0.453
Leeds,345150000,7340000,2223,0.61,0.529
Leicester,490700000,12910000,2223,0.867,0.931
Liverpool,811850000,20820000,2223,1.434,1.502
Man City,1150000000,33700000,2223,2.032,2.43
Man United,847750000,17660000,2223,1.498,1.274
Newcastle,541600000,14250000,2223,0.957,1.028
Nottingham Forest &nbsp;,376250000,7530000,2223,0.665,0.543
Southampton,419950000,9130000,2223,0.742,0.658
Tottenham,649100000,19090000,2223,1.147,1.377
West Ham,465600000,10580000,2223,0.823,0.763
Wolves,497650000,11570000,2223,0.879,0.834
Arsenal,1200000000,30080000,2324,1.966,2.076
Aston Villa,709650000,15770000,2324,1.162,1.088
Bournemouth,401750000,9570000,2324,0.658,0.66
Brentford,428780000,10210000,2324,0.702,0.705
Brighton,524400000,10700000,2324,0.859,0.738
Burnley FC &nbsp;,273480000,7010000,2324,0.448,0.484
Chelsea,1010000000,18100000,2324,1.654,1.249
Crystal Palace,446580000,11160000,2324,0.731,0.77
Everton,391750000,11520000,2324,0.642,0.795
Fulham,384350000,10980000,2324,0.63,0.758
Liverpool,955650000,21240000,2324,1.565,1.466
Luton Town &nbsp;,140900000,3060000,2324,0.231,0.211
Man City,1460000000,40630000,2324,2.391,2.804
Man United,808350000,17570000,2324,1.324,1.213
Newcastle,652250000,14490000,2324,1.068,1.0
Nott'm Forest,501350000,10900000,2324,0.821,0.752
Sheffield United &nbsp;,152350000,3390000,2324,0.25,0.234
Tottenham,838500000,20450000,2324,1.373,1.411
West Ham,487500000,13540000,2324,0.799,0.934
Wolves,442730000,9420000,2324,0.725,0.65
Arsenal,1160000000,27580000,2425,1.836,1.775
Aston Villa,680550000,16600000,2425,1.077,1.069
Bournemouth,518600000,13300000,2425,0.821,0.856
Brentford,427850000,11260000,2425,0.677,0.725
Brighton,667580000,13620000,2425,1.057,0.877
Chelsea,1190000000,20590000,2425,1.883,1.325
Crystal Palace,526850000,13170000,2425,0.834,0.848
Everton,363230000,9310000,2425,0.575,0.599
Fulham,362350000,12940000,2425,0.574,0.833
Ipswich Town &nbsp;,270100000,7720000,2425,0.427,0.497
Leicester City &nbsp;,253350000,6330000,2425,0.401,0.407
Liverpool,950950000,27170000,2425,1.505,1.749
Man City,1360000000,30860000,2425,2.153,1.987
Man United,825000000,16840000,2425,1.306,1.084
Newcastle,677530000,18820000,2425,1.072,1.211
Nott'm Forest,481300000,14580000,2425,0.762,0.939
Southampton FC &nbsp;,310050000,7380000,2425,0.491,0.475
Tottenham,777300000,18960000,2425,1.23,1.221
West Ham,400700000,13820000,2425,0.634,0.89
Wolves,433050000,9840000,2425,0.685,0.633
